Person{ | userID= 1 | email= evelynt+student+academy@chalk.com' | firstName= Evelyn' | lastName= Torgenson' | guardianEmail1= evelynt+guardian+academy@chalk.com' | guardianEmail2= null' | level= null | isDeleted= null | isAchive= null
Person{ | userID= 2 | email= josephs+student+academy@chalk.com' | firstName= Joseph' | lastName= Sturdevant' | guardianEmail1= evelynt+guardian+academy@chalk.com' | guardianEmail2= null' | level= null | isDeleted= null | isAchive= null
Person{ | userID= 3 | email= scottyb+student+academy@chalk.com' | firstName= Scotty' | lastName= Busch' | guardianEmail1= scottyb+guardian+academy@chalk.com' | guardianEmail2= nickyb+guardian+academy@chalk.com' | level= null | isDeleted= null | isAchive= null
Person{ | userID= 4 | email= nickyb+student+academy@chalk.com' | firstName= Nicky' | lastName= Busch' | guardianEmail1= nickyb+guardian+academy@chalk.com' | guardianEmail2= scottyb+guardian+academy@chalk.com' | level= null | isDeleted= null | isAchive= null
Person{ | userID= 5 | email= hilmah+student+academy@chalk.com' | firstName= Hilma' | lastName= Habbard' | guardianEmail1= hilmah+guardian+academy@chalk.com' | guardianEmail2= null' | level= null | isDeleted= null | isAchive= null
Person{ | userID= 6 | email= avisf+student+academy@chalk.com' | firstName= Avis' | lastName= Faulcon' | guardianEmail1= avisf+guardian+academy@chalk.com' | guardianEmail2= null' | level= null | isDeleted= null | isAchive= null
Person{ | userID= 7 | email= marybethb+student+academy@chalk.com' | firstName= Marybeth' | lastName= Bolduc' | guardianEmail1= null' | guardianEmail2= null' | level= null | isDeleted= null | isAchive= null
Person{ | userID= 8 | email= scarleta+student+academy@chalk.com' | firstName= Scarlet' | lastName= Alt' | guardianEmail1= scarleta+guardian+academy@chalk.com' | guardianEmail2= null' | level= null | isDeleted= null | isAchive= null
Person{ | userID= 9 | email= rhebal+student+academy@chalk.com' | firstName= Rheba' | lastName= Loftin' | guardianEmail1= null' | guardianEmail2= null' | level= null | isDeleted= null | isAchive= null
Person{ | userID= 10 | email= marvela+student+academy@chalk.com' | firstName= Marvel' | lastName= Alexander' | guardianEmail1= null' | guardianEmail2= null' | level= null | isDeleted= null | isAchive= null
Person{ | userID= 11 | email= terrir+student+academy@chalk.com' | firstName= Terri' | lastName= Robeson' | guardianEmail1= terrir+guardian+academy@chalk.com' | guardianEmail2= null' | level= null | isDeleted= null | isAchive= null
Person{ | userID= 12 | email= tituss+student+academy@chalk.com' | firstName= Titus' | lastName= Seese' | guardianEmail1= tituss+guardian+academy@chalk.com' | guardianEmail2= null' | level= null | isDeleted= null | isAchive= null
Person{ | userID= 13 | email= dionneh+student+academy@chalk.com' | firstName= Dionne' | lastName= Heron' | guardianEmail1= dionneh+guardian+academy@chalk.com' | guardianEmail2= dionneh2+guardian+academy@chalk.com' | level= null | isDeleted= null | isAchive= null
Person{ | userID= 14 | email= tannaw+student+academy@chalk.com' | firstName= Tanna' | lastName= Weisberg' | guardianEmail1= tannaw+guardian+academy@chalk.com' | guardianEmail2= null' | level= null | isDeleted= null | isAchive= null
Person{ | userID= 15 | email= ethelk+student+academy@chalk.com' | firstName= Ethel' | lastName= Kleckner' | guardianEmail1= null' | guardianEmail2= null' | level= null | isDeleted= null | isAchive= null
Person{ | userID= 16 | email= lorenzaw+student+academy@chalk.com' | firstName= Lorenza' | lastName= Waggener' | guardianEmail1= lorenzaw+guardian+academy@chalk.com' | guardianEmail2= null' | level= null | isDeleted= null | isAchive= null
Person{ | userID= 17 | email= nannies+student+academy@chalk.com' | firstName= Nannie' | lastName= Stupka' | guardianEmail1= nannies+guardian+academy@chalk.com' | guardianEmail2= null' | level= null | isDeleted= null | isAchive= null
Person{ | userID= 18 | email= emiler+student+academy@chalk.com' | firstName= Emile' | lastName= Rincon' | guardianEmail1= null' | guardianEmail2= null' | level= null | isDeleted= null | isAchive= null
Person{ | userID= 19 | email= zeneidah+student+academy@chalk.com' | firstName= Zeneida' | lastName= Hotard' | guardianEmail1= zeneidah+guardian+academy@chalk.com' | guardianEmail2= null' | level= null | isDeleted= null | isAchive= null
Person{ | userID= 20 | email= lenoras+student+academy@chalk.com' | firstName= Lenora' | lastName= Speights' | guardianEmail1= lenoras+guardian+academy@chalk.com' | guardianEmail2= null' | level= null | isDeleted= null | isAchive= null
